"ID","Technical Area / Program","Intervention","Impl. Partner","Start Date","End Date","Province","District","Sector","Updated Date"
"1958","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Muhazi","12/2/2016"
"1959","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyaga","12/2/2016"
"1960","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyiginya","12/2/2016"
"1961","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Musha","12/4/2016"
"1962","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Muyumbu","12/4/2016"
"1963","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Mwulire","12/2/2016"
"1964","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Nyakaliro","12/4/2016"
"1965","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Nzige","12/4/2016"
"1966","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Kiyombe","12/4/2016"
"1967","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Matimba","12/4/2016"
"1968","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Mimuri","12/4/2016"
"1969","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Mukama","12/4/2016"
"1970","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Nyagatare","12/4/2016"
"1971","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Rwempasha","12/4/2016"
"1972","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Rwimiyaga","12/4/2016"
"1973","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Nyagatare","Tabagwe","12/4/2016"
"1974","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Gasange","12/1/2016"
"1975","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Gatsibo","12/4/2016"
"1976","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Gitoki","12/4/2016"
"1977","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kabarore","12/4/2016"
"1978","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kageyo","12/4/2016"
"1979","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kiramuruzi","12/1/2016"
"1980","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kiziguro","12/1/2016"
"1981","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Muhura","12/4/2016"
"1982","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Murambi","12/1/2016"
"1983","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Ngarama","12/4/2016"
"1984","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Nyagihanga","12/4/2016"
"1985","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Remera","12/1/2016"
"1986","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Rugarama","12/1/2016"
"1987","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Rwimbogo","12/4/2016"
"1988","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Gashora","12/1/2016"
"1989","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Juru","12/1/2016"
"1990","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/4/2016"
"1991","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/4/2016"
"1992","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/4/2016"
"1993","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/4/2016"
"1994","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/4/2016"
"1995","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mareba","12/4/2016"
"1996","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mareba","12/4/2016"
"1997","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mareba","12/4/2016"
"1998","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mareba","12/4/2016"
"1999","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mareba","12/4/2016"
"2000","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mayange","12/4/2016"
"2001","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mayange","12/4/2016"
"2002","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mayange","12/4/2016"
"2003","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mayange","12/4/2016"
"2004","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mayange","12/4/2016"
"2005","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/4/2016"
"2006","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/4/2016"
"2007","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/4/2016"
"2008","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/4/2016"
"2009","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/4/2016"
"2010","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/4/2016"
"2011","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/4/2016"
"2012","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/4/2016"
"2013","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/4/2016"
"2014","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/4/2016"
"2015","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/4/2016"
"2016","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/4/2016"
"2017","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/4/2016"
"2018","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/4/2016"
"2019","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/4/2016"
"2020","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/4/2016"
"2021","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/4/2016"
"2022","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/4/2016"
"2023","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/4/2016"
"2024","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/4/2016"
"2025","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/4/2016"
"2026","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/4/2016"
"2027","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/4/2016"
"2028","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/4/2016"
"2029","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/4/2016"
"2030","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/4/2016"
"2031","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/4/2016"
"2032","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/4/2016"
"2033","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/4/2016"
"2034","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/4/2016"
"2035","Gender","GBV Prevention and Response","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rilima","12/1/2016"
"2036","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/4/2016"
"2037","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/4/2016"
"2038","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/4/2016"
"2039","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/4/2016"
"2040","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/4/2016"
"2041","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rweru","12/4/2016"
"2042","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rweru","12/4/2016"
"2043","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rweru","12/4/2016"
"2044","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rweru","12/4/2016"
"2045","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rweru","12/4/2016"
"2046","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Shyara","12/4/2016"
"2047","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Shyara","12/4/2016"
"2048","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Shyara","12/4/2016"
"2049","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Shyara","12/4/2016"
"2050","Gender","GBV Prevention and Response","Caritas/Rwanda","N/A","N/A","Eastern Province","Bugesera","Shyara","12/4/2016"
"2051","Gender","Positive Masculinity","Global Communities","N/A","N/A","Western Province","Karongi","Murundi","11/28/2016"
"2052","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2053","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2054","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2055","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2056","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2057","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2058","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2059","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2060","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2061","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2062","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2063","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2064","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2065","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2066","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2067","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2068","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2069","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2070","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2071","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2072","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2073","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2074","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2075","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2076","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2077","Gender","Positive Masculinity","Global Communities","N/A","N/A","Northern Province","Musanze","Shingiro","11/28/2016"
"2078","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Nyarugenge","Rwezamenyo","12/1/2016"
"2079","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Gahanga","12/1/2016"
"2080","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Gatenga","12/1/2016"
"2081","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kagarama","12/1/2016"
"2082","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kanombe","12/1/2016"
"2083","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Kicukiro","12/1/2016"
"2084","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Kigali City","Kicukiro","Nyarugunga","12/1/2016"
"2085","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Busanze","12/4/2016"
"2086","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Kibeho","12/4/2016"
"2087","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Kivu","12/4/2016"
"2088","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Muganza","12/4/2016"
"2089","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Munini","12/4/2016"
"2090","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Nyabimata","12/4/2016"
"2091","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyaruguru","Ruheru","12/4/2016"
"2092","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Buruhukiro","12/4/2016"
"2093","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Cyanika","12/4/2016"
"2094","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Gasaka","12/4/2016"
"2095","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Gatare","12/4/2016"
"2096","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kaduha","12/4/2016"
"2097","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kamegeri","12/4/2016"
"2098","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kibirizi","12/4/2016"
"2099","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kibumbwe","12/1/2016"
"2100","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Kitabi","12/1/2016"
"2101","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Mbazi","12/4/2016"
"2102","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Mugano","12/1/2016"
"2103","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Musange","12/4/2016"
"2104","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Musebeya","12/4/2016"
"2105","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Mushubi","12/4/2016"
"2106","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Nkomane","12/4/2016"
"2107","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Tare","12/1/2016"
"2108","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Southern Province","Nyamagabe","Uwinkingi","12/1/2016"
"2109","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Ruhango","Byimana","12/4/2016"
"2110","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Ruhango","Kinazi","12/4/2016"
"2111","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Ruhango","Mbuye","12/4/2016"
"2112","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Ruhango","Ntongwe","12/4/2016"
"2113","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Ruhango","Ruhango","12/4/2016"
"2114","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Kabacuzi","12/4/2016"
"2115","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Kiyumba","12/4/2016"
"2116","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Muhanga","12/4/2016"
"2117","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Mushishiro","12/4/2016"
"2118","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Nyamabuye","12/4/2016"
"2119","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Nyarusange","12/4/2016"
"2120","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Muhanga","Shyogwe","12/4/2016"
"2121","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Kayenzi","12/4/2016"
"2122","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Kayumbu","12/4/2016"
"2123","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Mugina","12/4/2016"
"2124","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Musambira","12/4/2016"
"2125","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Ngamba","12/4/2016"
"2126","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Rugarika","12/4/2016"
"2127","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Southern Province","Kamonyi","Runda","12/4/2016"
"2128","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Karongi","Gishyita","12/4/2016"
"2129","Gender","Sexual and Reproductive Health and Rights","Global Communities","N/A","N/A","Western Province","Karongi","Murundi","11/28/2016"
"2130","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Karongi","Mutuntu","12/4/2016"
"2131","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Karongi","Twumba","12/4/2016"
"2132","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Rutsiro","Manihira","12/4/2016"
"2133","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Rutsiro","Mukura","12/4/2016"
"2134","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Bugeshi","12/1/2016"
"2135","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Cyanzarwe","12/1/2016"
"2136","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyakiriba","12/1/2016"
"2137","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyamyumba","12/1/2016"
"2138","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Nyundo","12/1/2016"
"2139","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Western Province","Rubavu","Rugerero","12/1/2016"
"2140","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Jomba","12/4/2016"
"2141","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Karago","12/4/2016"
"2142","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Kintobo","12/4/2016"
"2143","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Muringa","12/4/2016"
"2144","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Rambura","12/4/2016"
"2145","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Western Province","Nyabihu","Shyira","12/4/2016"
"2146","Gender","Sexual and Reproductive Health and Rights","Global Communities","N/A","N/A","Northern Province","Musanze","Kimonyi","11/28/2016"
"2147","Gender","Sexual and Reproductive Health and Rights","Global Communities","N/A","N/A","Northern Province","Musanze","Remera","11/28/2016"
"2148","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Bukure","12/4/2016"
"2149","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Giti","12/4/2016"
"2150","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Kaniga","12/4/2016"
"2151","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Mukarange","12/4/2016"
"2152","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Muko","12/4/2016"
"2153","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Nyamiyaga","12/4/2016"
"2154","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Rushaki","12/4/2016"
"2155","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Rutare","12/4/2016"
"2156","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Rwamiko","12/4/2016"
"2157","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Northern Province","Gicumbi","Shangasha","12/4/2016"
"2158","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Fumbwe","12/4/2016"
"2159","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Gahengeri","12/4/2016"
"2160","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Gishali","12/2/2016"
"2161","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Karenge","12/4/2016"
"2162","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Kigabiro","12/2/2016"
"2163","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Muhazi","12/2/2016"
"2164","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyaga","12/2/2016"
"2165","Gender","Sexual and Reproductive Health and Rights","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyiginya","12/2/2016"
"2166","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Musha","12/4/2016"
"2167","Gender","Sexual and Reproductive Health and Rights","Caritas/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Muyumbu","12/4/2016"
